Code_CIQUAL,Groupe_aliment,Sous-groupe_aliment,Nom_Produit_Francais,LCI_Name,Saisonnalite,Transport_par_avion_,Livraison,Materiau_emballage,Preparation,DQR_Note_qualite_la_donnee_,Score_unique_EF_,Score_unique_EF__Agriculture,Score_unique_EF__Transformation,Score_unique_EF__Emballage,Score_unique_EF__Transport,Score_unique_EF__Supermarche_distribution,Score_unique_EF__Consommation
13112,"fruits, légumes, légumineuses et oléagineux",fruits,"Raisin, cru","Grape, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,2.46,0.10601393,0.072795187,0.0,0.0,0.01612692,0.012872902,0.0042189169
13046,"fruits, légumes, légumineuses et oléagineux",fruits,"Raisin, sec",Raisin,mix de consommation FR,0,Ambiant (moyenne),LPDE,Pas de préparation,2.75,0.64741171,0.24226238,0.35978369,0.021558384,0.0086230494,0.01518421,0.0
26063,"viandes, œufs, poissons",poissons crus,"Rascasse, crue","Spiny scorpionfish, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,3.68,1.8701383,1.7433901,0.0,0.01768459,0.097690587,0.0089437534,0.0024293397
26148,"viandes, œufs, poissons",poissons cuits,"Rascasse, cuite à la vapeur","Spiny scorpionfish, steamed",mix de consommation FR,0,Glacé,PP,Four,3.56,2.3127208,2.1287804,0.0,0.019501654,0.11928587,0.010920842,0.034231999
25018,entrées et plats composés,plats composés,Ratatouille cuisinée,Ratatouille cooked,mix de consommation FR,0,Glacé,PP,Micro onde ,2.52,0.28195529,0.19526322,0.036098641,0.01611859,0.019050592,0.0089786658,0.0064417627
25019,entrées et plats composés,plats composés,"Ravioli à la viande, sauce tomate, appertisé","Ravioli filled with meat, in tomato sauce, canned",mix de consommation FR,0,Glacé,Acier,Micro onde ,1.97,1.5358733,1.4267799,0.056533892,0.020501409,0.017501576,0.0089786658,0.0064417627
25110,entrées et plats composés,plats composés,"Ravioli chinois à la vapeur à la crevette, cuit","Dumplings, steamed, with shrimps, cooked",mix de consommation FR,0,Glacé,PP,Micro onde ,2.94,0.34244083,0.21458696,0.0619016119999999,0.016121962,0.034409909,0.0089786658,0.0064417627
25192,entrées et plats composés,plats composés,"Raviolis aux légumes, sauce tomate, appertisés","Ravioli filled with vegetables, in tomato sauce, canned",mix de consommation FR,0,Glacé,Acier,Micro onde ,2.65,0.2981742799999999,0.20575377,0.038164207,0.020501409,0.018311117,0.0089786658,0.0064417627
12045,lait et produits laitiers,fromages,Reblochon,"Reblochon cheese, from cow's milk",mix de consommation FR,0,Glacé,LPDE,Pas de préparation,1.81,0.4958462199999999,0.4163217899999999,0.028839787,0.019721226,0.020064567,0.0088270864,0.0024293397
26162,"viandes, œufs, poissons",poissons crus,"Requin, cru","Shark, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,3.64,1.8701383,1.7433901,0.0,0.01768459,0.097690587,0.0089437534,0.0024293397
13047,"fruits, légumes, légumineuses et oléagineux",fruits,"Rhubarbe, tige, crue","Rhubarb, stalk, raw",mix de consommation FR,0,Ambiant (moyenne),Pas d'emballage,Pas de préparation,3.12,0.084201826,0.053850378,0.0,0.0,0.013259629,0.012872902,0.0042189169
13048,"fruits, légumes, légumineuses et oléagineux",fruits,"Rhubarbe, tige, cuite, sucrée","Rhubarb, stalk, cooked, with sugar",mix de consommation FR,0,Ambiant (long),Verre,Cuisson à l'eau,3.61,0.15177446,0.044412683,0.0,0.058566472,0.015292318,0.022413234,0.011089751
1004,boissons,boisson alcoolisées,Rhum,Rum,mix de consommation FR,0,Ambiant (moyenne),Verre,Réfrigéré chez le consommateur,3.29,0.12296672,0.0,0.050783404,0.051649676,0.01375452,0.0043498741,0.0024293397
8026,"viandes, œufs, poissons",charcuteries,Rillettes de canard,"Rillettes, duck",mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8083,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Rillettes de maquereau,"Rillettes, mackerel",mix de consommation FR,0,Glacé,Acier,Pas de préparation,3.17,1.2660218,1.116117,0.052012637,0.020494987,0.065987986,0.0089786658,0.0024293397
8080,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Rillettes de poisson,"Rillette, fish",mix de consommation FR,0,Glacé,Acier,Pas de préparation,3.57,0.5365771300000001,0.39911693,0.067126239,0.020494987,0.0384309679999999,0.0089786658,0.0024293397
8040,"viandes, œufs, poissons",charcuteries,Rillettes de poulet,"Rillettes, poultry",mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8081,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Rillettes de saumon,"Rillettes, salmon",mix de consommation FR,0,Glacé,Acier,Pas de préparation,3.17,1.2660218,1.116117,0.052012637,0.020494987,0.065987986,0.0089786658,0.0024293397
8082,"viandes, œufs, poissons",produits à base de poissons et produits de la mer,Rillettes de thon,"Rillettes, tuna",mix de consommation FR,0,Glacé,Acier,Pas de préparation,3.1,0.5365771300000001,0.39911693,0.067126239,0.020494987,0.0384309679999999,0.0089786658,0.0024293397
8010,"viandes, œufs, poissons",charcuteries,Rillettes de Tours,Rillettes from Tours,mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8030,"viandes, œufs, poissons",charcuteries,Rillettes d'oie,"Rillettes, goose",mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8015,"viandes, œufs, poissons",charcuteries,Rillettes du Mans,Rillettes from Mans,mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8025,"viandes, œufs, poissons",charcuteries,Rillettes pur oie,"Rillettes, pure goose",mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8001,"viandes, œufs, poissons",charcuteries,Rillettes pur porc,"Rillettes, pure pork",mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
8000,"viandes, œufs, poissons",charcuteries,Rillettes traditionnelles de porc,"Rillettes, pork",mix de consommation FR,0,Glacé,Acier,Pas de préparation,2.78,0.77308207,0.57295275,0.1370335999999999,0.035371891,0.0164087599999999,0.0089786658,0.0024293397
40302,"viandes, œufs, poissons",viandes crues,"Ris, agneau, cru","Sweetbread, lamb, raw",mix de consommation FR,0,Glacé,PS,Pas de préparation,2.63,3.1325615,3.0721093,0.0068432727999999,0.022105737,0.018587344,0.011179692,0.0072555916
40303,"viandes, œufs, poissons",viandes cuites,"Ris, agneau, cuit","Sweetbread, lamb, cooked",mix de consommation FR,0,Glacé,PS,Four,2.65,4.3250921,4.2109642,0.0093801274,0.030300507,0.025477817,0.015324091,0.04121093
